,direction,sigma0+,sigma0-,sigma0_theory
0,0,11.954534805124188,11.766550043187461,11.907223768661794
1,5,11.934162772041887,12.002362155334321,11.897989329068984
2,10,11.982446610923303,11.919551393508614,11.870680390466436
3,15,11.692714165197842,11.838844504473013,11.826282366659512
4,20,11.792046043344799,11.807417155826043,11.765766648810995
5,25,11.728382771095177,11.57394079631867,11.691112205569954
6,30,11.691743358411326,11.619270914996044,11.604667977651669
7,35,11.483621638436928,11.584978941655883,11.509182587629345
8,40,11.284858426275466,11.488899951408484,11.407216897557513
9,45,11.17723107309545,11.393486935151465,11.302277954972498
10,50,11.059083198388926,11.114920154671385,11.197193989866516
11,55,11.111822425231527,11.081979726984997,11.095226485987126
12,60,11.117202064774723,11.02524294689649,10.999753314594471
13,65,11.00294976579697,10.956535373896008,10.913307085365231
14,70,10.836258980006175,10.705461128582488,10.838783113764794
15,75,10.820716242022616,10.955810199134497,10.778249384611318
16,80,10.84869441226688,10.894020539269764,10.73375112398583
17,85,10.699958174433082,10.60834651823069,10.706435761049155
18,90,10.726834115031709,10.468551476083404,10.697195414247352
19,95,10.78598484371851,10.775494880635241,10.706435761049155
20,100,10.73135725240543,10.783535573611232,10.73375112398583
21,105,10.77673003952457,10.790302820361255,10.778249384611318
22,110,10.844893313006384,10.754018735046934,10.838783113764794
23,115,10.721579271437449,10.765401278709293,10.913307085365231
24,120,10.84928719152154,10.980918610214125,10.999753314594471
25,125,10.99152318859872,11.210634852981656,11.095226485987126
26,130,11.175640504466653,11.176350195268148,11.197193989866516
27,135,11.251401790965275,11.366668981489024,11.302277954972498
28,140,11.385438334363887,11.322149339370448,11.407216897557513
29,145,11.425948645517888,11.568303353634597,11.509182587629345
30,150,11.733147594330271,11.62454987781532,11.604667977651669
31,155,11.634820619784081,11.740331476581405,11.691112205569954
32,160,11.751444910133738,11.923008451913619,11.765766648810995
33,165,11.859434809057968,12.00265029296747,11.826279096265171
34,170,11.823948100733965,11.888563456217254,11.870680390466436
35,175,12.09142642283905,11.915604581489488,11.897989329068984
